session_id,client_id,visit_time,session_duration_sec,marketing_channel,referrer,device_type,os,connection_type,bandwidth_mbps,steps_completed,conversion
1,1,2024-12-08,190.02162101990592,partner,facebook,mobile,ios,5G,12.282842425069855,1,True
2,1,2024-04-21,78.70983328054369,ads,wallet_app,tablet,ios,4G,25.677901626588902,2,True
3,1,2025-02-10,20.0,ads,facebook,mobile,ios,4G,35.4023276677372,4,False
4,1,2024-09-22,90.98435291717365,organic,direct,mobile,macos,wifi,19.496323434723337,2,True
5,1,2024-04-15,161.06844656595794,ads,direct,desktop,android,wifi,28.62573136093065,3,True
6,1,2024-08-21,175.26300489748022,organic,wallet_app,mobile,android,4G,23.288894161563015,1,True
7,1,2024-03-17,95.06247038194061,referral,google,mobile,ios,wifi,19.847704613606368,4,False
8,1,2024-11-28,66.22506355016918,referral,direct,mobile,ios,wifi,34.01971308274649,3,True
9,2,2024-04-01,111.98355634834041,organic,facebook,mobile,android,5G,35.66292005389457,3,True
10,2,2024-10-11,77.75632726409285,referral,campaign,mobile,ios,5G,54.936180523596136,1,True
11,2,2024-04-12,84.91331917739544,organic,google,mobile,android,wifi,18.968517099476884,1,False
12,2,2024-05-06,206.2001546027551,organic,campaign,desktop,ios,wifi,5.447076349182765,1,True
13,2,2024-10-05,70.73953751104695,partner,google,mobile,windows,4G,34.8018355666405,2,False
14,2,2024-06-22,144.0652706459113,ads,direct,mobile,ios,3G,16.706646622992253,4,False
15,3,2024-03-04,181.15393426888815,ads,google,mobile,windows,4G,42.298550793919695,4,True
16,3,2024-12-01,153.50391801276106,ads,facebook,mobile,android,4G,29.534939879732143,3,True
17,3,2024-03-07,271.0544659079503,organic,facebook,mobile,ios,5G,28.810876210890093,2,True
18,3,2024-10-17,107.40754357924358,ads,direct,mobile,android,wifi,43.01981442100751,4,False
19,3,2024-06-24,225.49000036430272,organic,campaign,mobile,ios,wifi,36.96101001082252,4,True
20,3,2024-11-01,273.49190110742717,referral,wallet_app,mobile,windows,3G,44.599385505583335,2,True
21,3,2024-03-27,193.93444968532452,organic,facebook,desktop,android,wifi,26.241026576138438,4,False
22,4,2024-11-09,132.36253831750315,organic,google,mobile,android,5G,40.23811389940818,5,True
23,4,2024-10-16,156.8976188727693,partner,direct,mobile,windows,wifi,29.49768955121947,3,False
24,4,2024-09-12,112.12683887728544,ads,google,mobile,android,4G,19.03154288911948,3,True
25,5,2024-11-29,158.6963179133307,organic,facebook,mobile,android,3G,79.81489676447521,5,True
26,5,2024-07-12,194.59755699600944,organic,google,mobile,ios,wifi,29.311031340869977,2,True
27,5,2024-09-27,138.4324383752152,organic,google,mobile,ios,wifi,36.93210754640391,1,True
28,5,2025-02-10,54.762605022558986,organic,campaign,mobile,android,4G,24.824454264914998,5,True
29,5,2024-08-15,136.38679966932548,partner,google,mobile,android,4G,27.29897196774941,2,True
30,6,2024-11-16,59.33421527625531,ads,campaign,desktop,windows,4G,7.915059641745639,3,False
31,6,2025-01-18,214.2841317815342,partner,facebook,desktop,ios,wifi,30.323110820976485,4,False
32,6,2024-05-09,86.1589483514055,ads,campaign,desktop,ios,4G,30.511310685120428,2,True
33,6,2024-07-29,183.45942753374698,partner,facebook,desktop,android,5G,54.78234285705987,3,False
34,7,2024-05-29,145.33760027717705,organic,facebook,mobile,ios,4G,46.88998048737994,3,False
35,7,2024-08-28,162.27695742964187,referral,google,mobile,android,wifi,14.746255481291126,3,False
36,7,2024-06-01,56.88345228294217,ads,facebook,desktop,android,wifi,43.500641876251386,3,False
37,7,2024-03-17,281.90383165277683,ads,google,desktop,android,4G,49.449176025300304,2,True
38,7,2024-05-11,211.65972603068315,organic,wallet_app,mobile,windows,4G,12.508231716183268,1,True
39,7,2025-01-20,310.0308934791093,organic,facebook,desktop,ios,5G,15.461953306705281,4,True
40,7,2024-03-28,132.19052241574923,organic,wallet_app,desktop,android,3G,22.86649950243222,3,True
41,7,2024-07-06,156.22713592830027,organic,wallet_app,desktop,ios,4G,32.98645292119748,3,True
42,7,2024-08-12,218.02025841961466,ads,wallet_app,mobile,android,5G,16.631056857599347,4,True
43,8,2024-07-03,131.95412730274973,organic,campaign,mobile,android,wifi,27.860069318448158,3,False
44,8,2024-03-26,190.59161028947446,organic,direct,mobile,android,5G,20.579365634387056,2,False
45,9,2024-08-25,116.12206459877096,organic,wallet_app,mobile,android,wifi,28.378670444034256,4,True
46,9,2024-09-02,198.0369109301654,referral,facebook,mobile,android,3G,47.55170811331679,1,False
47,9,2024-05-06,152.45508738275603,organic,google,mobile,macos,4G,45.321566276333705,2,False
48,9,2024-04-16,103.21962858765949,organic,direct,desktop,ios,5G,32.524432559845394,2,False
49,9,2024-10-26,30.06876256140626,organic,google,mobile,android,4G,29.1884335286878,2,False
50,9,2024-04-12,213.25442359098065,organic,facebook,mobile,ios,5G,15.418924093283596,3,False
51,10,2024-04-10,203.21338387435355,ads,facebook,desktop,android,5G,26.05165563836001,3,True
52,10,2024-07-18,31.449980415483168,organic,direct,mobile,windows,3G,47.41904846215186,1,True
53,10,2024-05-04,184.8631432628569,referral,facebook,mobile,android,wifi,19.191948239376334,1,False
54,10,2024-09-06,86.88913662238268,referral,facebook,mobile,ios,4G,31.919178920710753,4,False
55,10,2024-10-21,181.62578767095332,organic,facebook,mobile,ios,wifi,25.482122608346856,2,True
56,11,2024-11-13,272.03743522920934,organic,wallet_app,mobile,ios,4G,10.29437700440456,5,False
57,11,2024-06-02,220.0911733750898,partner,google,mobile,android,wifi,25.77614264991533,4,True
58,11,2024-09-19,217.43389054190584,referral,facebook,mobile,android,wifi,43.075977746843236,2,True
59,12,2024-09-25,133.2852221214257,organic,google,mobile,android,wifi,26.9244766911693,3,False
60,12,2024-04-01,122.80403579847763,organic,google,mobile,ios,wifi,30.129798233070417,2,True
61,12,2024-08-13,130.67133158165345,ads,facebook,mobile,android,4G,26.649189055523784,3,False
62,12,2024-03-21,68.92979380156322,organic,facebook,mobile,macos,wifi,40.480023752547496,2,False
63,13,2024-04-23,155.02225153137783,organic,google,mobile,android,wifi,48.52544077420259,4,False
64,13,2024-08-30,104.30682075883695,partner,wallet_app,mobile,android,3G,31.95554545589983,2,True
65,14,2024-10-24,115.43754012345929,referral,campaign,mobile,android,wifi,34.03559056810872,3,True
66,14,2024-07-31,181.24063919603495,organic,google,desktop,ios,4G,20.19836081003566,3,True
67,14,2024-06-27,134.54596101722115,ads,google,desktop,android,5G,25.20545864499582,1,True
68,14,2024-03-17,161.53532372884814,organic,google,desktop,android,wifi,24.938188727197854,1,False
69,14,2024-04-24,160.16299061725724,partner,wallet_app,mobile,ios,4G,13.346957259596891,4,False
70,14,2024-12-07,97.73662916456549,ads,google,mobile,ios,wifi,2.0,4,True
71,14,2024-03-05,74.99627374024095,ads,campaign,mobile,ios,4G,38.922019229154884,3,True
72,15,2024-12-30,154.72554114258892,ads,google,mobile,ios,4G,39.03265565833191,2,True
73,15,2024-05-08,156.42948833468813,ads,facebook,mobile,android,4G,23.237972650261817,1,False
74,15,2024-10-01,146.21037433427793,organic,direct,mobile,android,4G,7.94569017658236,1,True
75,16,2024-09-12,55.810615077636456,ads,facebook,desktop,android,wifi,41.185434303064135,6,False
76,16,2024-08-01,104.77549717231936,organic,campaign,mobile,android,5G,11.458429138660303,3,True
77,16,2024-10-07,99.06834656085735,partner,wallet_app,mobile,android,4G,57.31847632131327,5,False
78,16,2025-02-25,143.6563080158615,ads,google,desktop,android,4G,27.202700040259014,4,False
79,17,2025-02-25,200.0298725392033,referral,campaign,mobile,ios,4G,34.66184319359004,2,True
