payment_id,client_id,loan_id,due_date,paid_date,amount_due,amount_paid,dpd
1,1,1,2024-08-01,2024-08-02,62569.8813289614,62258.47113616435,1
2,1,1,2024-09-01,2024-09-18,62569.8813289614,59722.99589885207,17
3,1,1,2024-10-01,2024-10-01,62569.8813289614,61674.1208850209,0
4,1,1,2024-11-01,2024-11-07,62569.8813289614,61538.367805724054,6
5,1,1,2024-12-01,2024-12-03,62569.8813289614,62379.49390611399,2
6,1,1,2025-01-01,2025-01-16,62569.8813289614,61616.109495849654,15
7,1,1,2025-02-01,2025-02-19,62569.8813289614,61992.91656316591,18
8,1,1,2025-03-01,2025-03-03,62569.8813289614,61900.226894192594,2
9,1,1,2025-04-01,2025-04-02,62569.8813289614,62378.60446878534,1
10,1,4,2024-09-01,2024-09-09,69261.836354384,67430.01943398498,8
11,1,4,2024-10-01,2024-10-20,69261.836354384,67976.9109586009,19
12,1,4,2024-11-01,2024-11-07,69261.836354384,67771.61464885349,6
13,1,4,2024-12-01,2024-12-14,69261.836354384,68517.12579882554,13
14,1,4,2025-01-01,2025-01-13,69261.836354384,68585.047701211,12
15,1,4,2025-02-01,2025-02-27,69261.836354384,67715.22013873361,26
16,1,4,2025-03-01,2025-03-06,69261.836354384,67292.00499108207,5
17,1,4,2025-04-01,2025-04-15,69261.836354384,69310.37630689157,14
18,1,4,2025-05-01,2025-05-09,69261.836354384,67264.59418779373,8
19,1,3,2024-11-01,2024-11-15,270993.0443036132,269615.05722959834,14
20,1,3,2024-12-01,2024-12-14,270993.0443036132,263888.57904753514,13
21,1,3,2025-01-01,2025-01-12,270993.0443036132,267068.1222111028,11
22,1,2,2025-01-01,2025-01-17,52984.64154590603,52302.20821111619,16
23,1,2,2025-02-01,2025-02-15,52984.64154590603,52178.21105266301,14
24,1,2,2025-03-01,2025-03-12,52984.64154590603,52626.22996644298,11
25,1,2,2025-04-01,2025-04-01,52984.64154590603,51870.43628890136,0
26,1,2,2025-05-01,2025-05-06,52984.64154590603,51616.740554357995,5
27,1,2,2025-06-01,2025-06-08,52984.64154590603,53312.63520368871,7
28,2,5,2024-02-01,2024-02-20,57732.52641198973,55025.5597751142,19
29,2,5,2024-03-01,2024-03-09,57732.52641198973,56623.84681262753,8
30,2,5,2024-04-01,2024-04-17,57732.52641198973,57098.81823772243,16
31,2,5,2024-05-01,2024-05-19,57732.52641198973,56180.912936518835,18
32,2,5,2024-06-01,2024-06-08,57732.52641198973,57225.90135656336,7
33,2,5,2024-07-01,2024-07-11,57732.52641198973,55378.17571284762,10
34,2,5,2024-08-01,2024-08-03,57732.52641198973,55686.67007738814,2
35,2,5,2024-09-01,2024-09-16,57732.52641198973,56606.24359172204,15
36,2,5,2024-10-01,2024-10-18,57732.52641198973,56112.90900784218,17
37,2,6,2025-01-01,2025-01-17,76811.37829038281,74792.37433342444,16
38,2,6,2025-02-01,2025-02-16,76811.37829038281,74386.1426868112,15
39,2,6,2025-03-01,2025-03-09,76811.37829038281,74708.96713794832,8
40,2,6,2025-04-01,2025-04-03,76811.37829038281,75709.86975628293,2
41,2,6,2025-05-01,2025-05-08,76811.37829038281,75163.18970190348,7
42,2,6,2025-06-01,2025-06-16,76811.37829038281,75663.27447091081,15
43,2,6,2025-07-01,2025-07-17,76811.37829038281,75035.32225760205,16
44,2,6,2025-08-01,2025-08-09,76811.37829038281,75056.94535988507,8
45,2,6,2025-09-01,2025-09-01,76811.37829038281,73481.47379148321,0
46,3,8,2024-06-01,2024-06-01,96220.72648688887,95860.51011640104,0
47,3,8,2024-07-01,2024-07-01,96220.72648688887,94737.70548331298,0
48,3,8,2024-08-01,2024-08-18,96220.72648688887,94769.31194676057,17
49,3,7,2024-12-01,2024-12-01,72521.7949272414,71591.93330118978,0
50,3,7,2025-01-01,2025-01-01,72521.7949272414,71446.60449976004,0
51,3,7,2025-02-01,2025-02-14,72521.7949272414,69936.38814525436,13
52,3,7,2025-03-01,2025-03-11,72521.7949272414,72074.0289968089,10
53,3,7,2025-04-01,2025-04-03,72521.7949272414,70242.35314028693,2
54,3,7,2025-05-01,2025-05-08,72521.7949272414,71239.4173828873,7
55,3,7,2025-06-01,2025-06-09,72521.7949272414,71839.1851600658,8
56,3,7,2025-07-01,2025-07-20,72521.7949272414,71555.03631186603,19
57,3,7,2025-08-01,2025-08-01,72521.7949272414,72010.43467032652,0
58,3,9,2025-01-01,2025-01-18,211496.6219258658,212085.93800576887,17
59,3,9,2025-02-01,2025-02-10,211496.6219258658,214078.8441693297,9
60,3,9,2025-03-01,2025-03-01,211496.6219258658,207407.01057339335,0
61,4,10,2024-07-01,2024-07-02,57458.51801100576,56023.244650724955,1
62,4,10,2024-08-01,2024-08-10,57458.51801100576,57018.251035142384,9
63,4,10,2024-09-01,2024-09-01,57458.51801100576,56334.47480386049,0
64,4,10,2024-10-01,2024-10-08,57458.51801100576,57932.142495250875,7
65,4,10,2024-11-01,2024-11-21,57458.51801100576,59721.173122568085,20
66,4,10,2024-12-01,2024-12-09,57458.51801100576,56356.918929411535,8
67,4,10,2025-01-01,2025-01-01,57458.51801100576,57440.51439601049,0
68,4,10,2025-02-01,2025-02-01,57458.51801100576,56851.7926485724,0
69,4,10,2025-03-01,2025-03-01,57458.51801100576,57088.43530255383,0
70,4,10,2025-04-01,2025-04-14,57458.51801100576,57345.13650691536,13
71,4,10,2025-05-01,2025-05-04,57458.51801100576,56317.17289064934,3
72,4,10,2025-06-01,2025-06-01,57458.51801100576,56790.64186151218,0
73,5,11,2024-11-01,2024-11-15,121144.9459178757,121473.179050149,14
74,5,11,2024-12-01,2024-12-14,121144.9459178757,120046.35131735427,13
75,5,11,2025-01-01,2025-01-09,121144.9459178757,116107.29321616584,8
76,5,11,2025-02-01,2025-02-05,121144.9459178757,116942.6803581443,4
77,5,11,2025-03-01,2025-03-30,121144.9459178757,116767.93977115603,29
78,5,11,2025-04-01,2025-04-20,121144.9459178757,116619.76648128357,19
79,6,12,2024-11-01,2024-11-08,33571.62156986256,33347.41105139979,7
80,6,12,2024-12-01,2024-12-05,33571.62156986256,33096.55560396156,4
81,6,12,2025-01-01,2025-01-09,33571.62156986256,33197.17187641684,8
82,6,12,2025-02-01,2025-02-01,33571.62156986256,32782.753325230435,0
83,6,12,2025-03-01,2025-03-07,33571.62156986256,34221.479686022285,6
84,6,12,2025-04-01,2025-04-07,33571.62156986256,33366.54665993729,6
85,6,12,2025-05-01,2025-05-08,33571.62156986256,34083.95881838738,7
86,6,12,2025-06-01,2025-06-07,33571.62156986256,33219.357472460404,6
87,6,12,2025-07-01,2025-07-14,33571.62156986256,33642.20060822006,13
88,6,12,2025-08-01,2025-08-18,33571.62156986256,33518.56203252964,17
89,6,12,2025-09-01,2025-09-01,33571.62156986256,32737.320031488907,0
90,6,12,2025-10-01,2025-10-18,33571.62156986256,34294.28367412115,17
91,7,13,2024-08-01,2024-08-02,206788.36888311445,210336.80758571796,1
92,7,13,2024-09-01,2024-09-01,206788.36888311445,203028.3752519405,0
93,7,13,2024-10-01,2024-10-11,206788.36888311445,204579.6661189876,10
94,7,14,2024-09-01,2024-09-04,64438.04262456907,64457.48445001444,3
95,7,14,2024-10-01,2024-10-17,64438.04262456907,64218.75151392847,16
96,7,14,2024-11-01,2024-11-11,64438.04262456907,62149.55864403822,10
97,7,14,2024-12-01,2024-12-05,64438.04262456907,63316.15318105543,4
98,7,14,2025-01-01,2025-01-01,64438.04262456907,63282.398507781996,0
99,7,14,2025-02-01,2025-02-03,64438.04262456907,65016.47930851163,2
100,8,16,2024-02-01,2024-02-13,51359.384162609495,49763.54202365178,12
101,8,16,2024-03-01,2024-03-10,51359.384162609495,50909.05704812559,9
102,8,16,2024-04-01,2024-04-17,51359.384162609495,51166.86083022485,16
103,8,16,2024-05-01,2024-05-12,51359.384162609495,49600.393923328484,11
104,8,16,2024-06-01,2024-06-11,51359.384162609495,50323.35897046385,10
105,8,16,2024-07-01,2024-07-14,51359.384162609495,49301.139128799594,13
106,8,16,2024-08-01,2024-08-14,51359.384162609495,50312.36667981329,13
107,8,16,2024-09-01,2024-10-03,51359.384162609495,51582.44543361245,32
108,8,16,2024-10-01,2024-10-06,51359.384162609495,49915.144195531175,5
109,8,15,2024-11-01,2024-11-08,115556.30084351,113352.012548375,7
110,8,15,2024-12-01,2024-12-23,115556.30084351,111541.20687781934,22
111,8,15,2025-01-01,2025-01-08,115556.30084351,109082.96869045922,7
112,8,15,2025-02-01,2025-02-12,115556.30084351,110963.4301562761,11
113,8,15,2025-03-01,2025-03-09,115556.30084351,111285.05852903884,8
114,8,15,2025-04-01,2025-04-12,115556.30084351,109758.21148534417,11
115,9,18,2024-02-01,2024-03-03,79792.21850886919,75919.7331495113,31
116,9,18,2024-03-01,2024-03-06,79792.21850886919,79659.19879279104,5
117,9,18,2024-04-01,2024-05-08,79792.21850886919,76058.39920161139,37
118,9,18,2024-05-01,2024-05-12,79792.21850886919,77869.42983558879,11
119,9,18,2024-06-01,2024-06-29,79792.21850886919,76279.4749737008,28
120,9,18,2024-07-01,2024-07-13,79792.21850886919,78391.01005414945,12
121,9,17,2024-06-01,2024-06-12,166889.80753477127,161678.15198272216,11
122,9,17,2024-07-01,2024-07-04,166889.80753477127,161416.92576022286,3
123,9,17,2024-08-01,2024-08-13,166889.80753477127,162594.3591375258,12
124,10,19,2024-04-01,2024-04-18,186646.85904784338,184634.1920805264,17
125,10,19,2024-05-01,2024-05-15,186646.85904784338,182783.70211462924,14
126,10,19,2024-06-01,2024-06-14,186646.85904784338,181799.12495854587,13
127,10,20,2024-05-01,2024-05-16,20766.26889846077,20196.581095765476,15
128,10,20,2024-06-01,2024-07-01,20766.26889846077,20716.97595537123,30
129,10,20,2024-07-01,2024-07-17,20766.26889846077,19989.19752268708,16
130,10,20,2024-08-01,2024-08-05,20766.26889846077,20597.919213613794,4
131,10,20,2024-09-01,2024-09-16,20766.26889846077,20376.447096078326,15
132,10,20,2024-10-01,2024-10-01,20766.26889846077,20515.776844130804,0
133,10,20,2024-11-01,2024-11-18,20766.26889846077,19880.99275792375,17
134,10,20,2024-12-01,2024-12-10,20766.26889846077,20309.03162639081,9
135,10,20,2025-01-01,2025-01-14,20766.26889846077,20135.87570957686,13
136,10,20,2025-02-01,2025-02-13,20766.26889846077,20148.395840825942,12
137,10,20,2025-03-01,2025-03-15,20766.26889846077,20685.24626060508,14
138,10,20,2025-04-01,2025-04-01,20766.26889846077,20153.107846486346,0
139,11,21,2024-11-01,2024-11-12,48160.53663838511,47193.43052624162,11
140,11,21,2024-12-01,2024-12-01,48160.53663838511,47699.0511912023,0
141,11,21,2025-01-01,2025-01-23,48160.53663838511,46354.030787697695,22
142,11,21,2025-02-01,2025-02-16,48160.53663838511,47224.77534787007,15
143,11,21,2025-03-01,2025-03-09,48160.53663838511,46701.482254023846,8
144,11,21,2025-04-01,2025-04-07,48160.53663838511,48401.267293560726,6
145,11,21,2025-05-01,2025-05-14,48160.53663838511,48713.5404616644,13
146,11,21,2025-06-01,2025-06-19,48160.53663838511,47779.30436486295,18
147,11,21,2025-07-01,2025-07-23,48160.53663838511,47779.23680512397,22
148,12,22,2025-01-01,2025-01-12,41439.69692162428,40386.766471298724,11
149,12,22,2025-02-01,2025-02-08,41439.69692162428,40960.5227696114,7
150,12,22,2025-03-01,2025-03-05,41439.69692162428,40831.70731083436,4
151,12,22,2025-04-01,2025-04-13,41439.69692162428,41073.44376329389,12
152,12,22,2025-05-01,2025-05-20,41439.69692162428,41477.107269305656,19
153,12,22,2025-06-01,2025-06-20,41439.69692162428,39368.22881854667,19
154,12,22,2025-07-01,2025-07-14,41439.69692162428,39616.88755192322,13
155,12,22,2025-08-01,2025-08-10,41439.69692162428,41284.77461850454,9
156,12,22,2025-09-01,2025-09-19,41439.69692162428,39910.949917745544,18
157,12,22,2025-10-01,2025-10-06,41439.69692162428,40365.77909458834,5
158,12,22,2025-11-01,2025-11-04,41439.69692162428,39928.22414938147,3
159,12,22,2025-12-01,2025-12-17,41439.69692162428,41063.5386040821,16
160,13,23,2024-08-01,2024-08-01,30079.4797323714,29663.397283831066,0
161,13,23,2024-09-01,2024-09-11,30079.4797323714,29712.813457729357,10
162,13,23,2024-10-01,2024-10-24,30079.4797323714,28595.15238202194,23
163,13,23,2024-11-01,2024-11-06,30079.4797323714,29792.68171237785,5
164,13,23,2024-12-01,2024-12-01,30079.4797323714,30192.006083129032,0
165,13,23,2025-01-01,2025-01-14,30079.4797323714,29908.04147863386,13
166,14,24,2024-04-01,2024-04-17,53572.492791453995,53445.461961278976,16
167,14,24,2024-05-01,2024-05-13,53572.492791453995,52775.2132923287,12
168,14,24,2024-06-01,2024-06-13,53572.492791453995,51893.07832073573,12
169,14,24,2024-07-01,2024-07-10,53572.492791453995,52464.28650625746,9
170,14,24,2024-08-01,2024-08-14,53572.492791453995,53390.297849217364,13
171,14,24,2024-09-01,2024-09-02,53572.492791453995,52486.39600967759,1
172,14,24,2024-10-01,2024-10-23,53572.492791453995,51989.31356489446,22
173,14,24,2024-11-01,2024-11-04,53572.492791453995,52749.42239536568,3
174,14,24,2024-12-01,2024-12-18,53572.492791453995,52596.0335244999,17
175,14,25,2024-11-01,2024-11-18,73482.35298345426,73058.28872028492,17
176,14,25,2024-12-01,2024-12-15,73482.35298345426,74696.02633186831,14
177,14,25,2025-01-01,2025-01-09,73482.35298345426,69922.05194659061,8
178,14,25,2025-02-01,2025-02-24,73482.35298345426,71625.91246353993,23
179,14,25,2025-03-01,2025-03-12,73482.35298345426,73573.83791584805,11
180,14,25,2025-04-01,2025-04-01,73482.35298345426,70750.7951947628,0
181,14,25,2025-05-01,2025-05-01,73482.35298345426,71255.07988301909,0
182,14,25,2025-06-01,2025-06-14,73482.35298345426,72708.18327215643,13
183,14,25,2025-07-01,2025-07-13,73482.35298345426,70573.20451028096,12
184,14,25,2025-08-01,2025-08-01,73482.35298345426,72190.31537094196,0
185,14,25,2025-09-01,2025-09-07,73482.35298345426,72636.75614222122,6
