tx_id,client_id,tx_date,amount,tx_type,balance,merchant_category
7,1,2024-01-25,112708.98520118243,expense,304689.35406136303,utilities
11,1,2024-01-28,89792.35961434303,expense,322625.1085733719,retail
5,1,2024-02-03,158375.00460699384,expense,358870.7706712247,retail
1,1,2024-03-14,178180.93435580266,income,178180.93435580266,food
15,1,2024-03-28,133817.35728920164,expense,215736.1551260354,services
6,1,2024-04-11,58527.56859132074,income,417398.33926254546,services
10,1,2024-05-13,155806.82085990245,income,412417.4681877149,utilities
4,1,2024-05-26,180094.78612937703,income,517245.7752782185,utilities
14,1,2024-06-07,163670.14943071431,income,349553.512415237,utilities
17,1,2024-06-21,145887.70855764954,income,220322.82462010652,services
3,1,2024-07-01,124473.26962405044,income,337150.9891488415,transport
9,1,2024-07-18,162910.99363808508,expense,256610.64732781245,food
12,1,2024-09-07,204677.41113981308,expense,117947.69743355882,retail
2,1,2024-09-18,34496.7851689884,income,212677.71952479106,services
8,1,2024-10-04,114832.2869045345,income,419521.64096589753,food
16,1,2024-10-20,141301.0390635784,expense,74435.11606245697,food
13,1,2024-12-09,67935.6655509639,income,185883.3629845227,retail
18,2,2024-03-30,72811.0181554336,expense,-72811.0181554336,food
33,2,2024-04-06,91061.08874971025,income,-359602.8258651326,services
22,2,2024-04-10,85167.84204594784,expense,-288130.962319826,retail
26,2,2024-04-27,95878.20975205084,income,-285196.11479390913,food
31,2,2024-05-05,10000.0,expense,-498389.1042152067,food
24,2,2024-06-07,152333.719616231,expense,-468699.10683487006,services
29,2,2024-06-29,151184.73365588117,income,-377750.62059839885,retail
32,2,2024-06-29,47725.18960036381,income,-450663.91461484286,services
20,2,2024-07-25,94090.5154334633,income,-35644.79215591081,retail
21,2,2024-08-08,167318.32811796738,expense,-202963.1202738782,food
30,2,2024-09-06,110638.48361680788,expense,-488389.1042152067,services
27,2,2024-10-08,92118.6982729125,expense,-377314.81306682166,services
23,2,2024-10-26,28234.424898813,expense,-316365.387218639,food
19,2,2024-11-08,56924.28943394051,expense,-129735.3075893741,retail
28,2,2024-11-24,151620.54118745826,expense,-528935.35425428,retail
25,2,2024-12-29,87624.78228891014,income,-381074.32454595994,services
